index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
194,668621,20170817,90.0,g,DES survey hex -145-643 tiling 8,0.847
195,677274,20170913,90.0,g,DES survey hex -286-623 tiling 7,0.849
196,685685,20171010,90.0,g,DES survey hex -360-400 tiling 8,0.849
197,672809,20170827,90.0,g,DES survey hex 148-34 tiling 8,0.85
198,691217,20171026,90.0,g,DES survey hex 17-572 tiling 9,0.85
199,694227,20171108,90.0,g,DES survey hex -72-643 tiling 9,0.851
200,670465,20170821,90.0,g,DES survey hex 307+47 tiling 8,0.851
201,689022,20171019,90.0,g,DES survey hex 207-308 tiling 8,0.851
202,678901,20170917,90.0,g,DES survey hex 100-24 tiling 8,0.853
203,682073,20170926,90.0,g,DES survey hex 132+37 tiling 9,0.854
204,681637,20170925,90.0,g,DES survey hex 149-217 tiling 8,0.854
205,688203,20171017,90.0,g,DES survey hex 326-278 tiling 7,0.854
206,680719,20170923,90.0,g,DES survey hex -436-613 tiling 8,0.855
207,681586,20170925,90.0,g,DES survey hex -2-542 tiling 8,0.856
208,689638,20171021,90.0,g,DES survey hex -235-14 tiling 9,0.858
209,690907,20171025,90.0,g,DES survey hex 280-491 tiling 9,0.858
210,689000,20171019,90.0,g,DES survey hex 53-369 tiling 9,0.858
211,688232,20171017,90.0,g,DES survey hex 525-481 tiling 7,0.858
212,692089,20171028,90.0,g,DES survey hex 451-24 tiling 8,0.859
213,678898,20170917,90.0,g,DES survey hex 84-14 tiling 8,0.859
214,672742,20170827,90.0,g,DES survey hex 180-14 tiling 8,0.859
215,680892,20170923,90.0,g,DES survey hex 98-207 tiling 8,0.859
216,682111,20170926,90.0,g,DES survey hex 36-45 tiling 8,0.859
217,686513,20171012,90.0,g,DES survey hex 135-532 tiling 8,0.86
218,668712,20170817,90.0,g,DES survey hex 217-542 tiling 6,0.861
219,680459,20170922,90.0,g,DES survey hex -353-481 tiling 8,0.862
220,694181,20171108,90.0,g,DES survey hex 20-55 tiling 9,0.862
221,694218,20171108,90.0,g,DES survey hex 203-613 tiling 8,0.862
222,686423,20171012,90.0,g,DES survey hex -326-471 tiling 8,0.863
223,687797,20171016,90.0,g,DES survey hex -484-420 tiling 9,0.864
224,685387,20171009,90.0,g,DES survey hex -483-440 tiling 8,0.864
225,689761,20171021,90.0,g,DES survey hex 14-481 tiling 9,0.865
226,680518,20170922,90.0,g,DES survey hex -79-420 tiling 8,0.865
227,681668,20170925,90.0,g,DES survey hex 306-95 tiling 7,0.866
228,681662,20170925,90.0,g,DES survey hex 285-197 tiling 8,0.867
229,680461,20170922,90.0,g,DES survey hex -433-481 tiling 8,0.869
230,668027,20170816,90.0,g,DES survey hex -290-400 tiling 8,0.87
232,671989,20170825,90.0,g,DES survey hex -186-430 tiling 8,0.87
233,681707,20170925,90.0,g,DES survey hex 78-278 tiling 9,0.871
234,694228,20171108,90.0,g,DES survey hex -50-613 tiling 9,0.872
235,689633,20171021,90.0,g,DES survey hex -251-4 tiling 9,0.874
236,689794,20171021,90.0,g,DES survey hex 198-420 tiling 8,0.875
237,692118,20171028,90.0,g,DES survey hex 500-116 tiling 8,0.876
238,670475,20170821,90.0,g,DES survey hex 244+47 tiling 8,0.876
239,690912,20171025,90.0,g,DES survey hex 358-318 tiling 8,0.876
240,689797,20171021,90.0,g,DES survey hex 218-410 tiling 8,0.876
241,686478,20171012,90.0,g,DES survey hex -151-603 tiling 8,0.877
243,678915,20170917,90.0,g,DES survey hex 164-4 tiling 9,0.879
244,668686,20170817,90.0,g,DES survey hex -50-613 tiling 6,0.88
245,689827,20171021,90.0,g,DES survey hex 352-511 tiling 8,0.88
246,689832,20171021,90.0,g,DES survey hex 401-532 tiling 8,0.881
247,681718,20170925,90.0,g,DES survey hex 169-288 tiling 8,0.882
248,678780,20170917,90.0,g,DES survey hex -586-542 tiling 8,0.882
249,689779,20171021,90.0,g,DES survey hex 91-410 tiling 8,0.883
250,694240,20171108,90.0,g,DES survey hex -129-552 tiling 9,0.884
251,685370,20171009,90.0,g,DES survey hex -411-4 tiling 7,0.885
252,688989,20171019,90.0,g,DES survey hex 42-278 tiling 9,0.886
253,682062,20170926,90.0,g,DES survey hex 84-34 tiling 9,0.886
254,691291,20171026,90.0,g,DES survey hex 396-572 tiling 8,0.887
255,681634,20170925,90.0,g,DES survey hex 132-227 tiling 8,0.887
256,682067,20170926,90.0,g,DES survey hex 116+6 tiling 9,0.888
257,694193,20171108,90.0,g,DES survey hex -32-511 tiling 9,0.889
258,692109,20171028,90.0,g,DES survey hex 452-105 tiling 8,0.89
259,678917,20170917,90.0,g,DES survey hex 180-14 tiling 9,0.89
260,668040,20170816,90.0,g,DES survey hex -186-410 tiling 8,0.89
261,689824,20171021,90.0,g,DES survey hex 329-501 tiling 8,0.891
262,689060,20171019,90.0,g,DES survey hex 376-329 tiling 8,0.891
263,682070,20170926,90.0,g,DES survey hex 116+26 tiling 9,0.891
264,692066,20171028,90.0,g,DES survey hex 356-24 tiling 8,0.892
265,689019,20171019,90.0,g,DES survey hex 188-298 tiling 8,0.893
266,688991,20171019,90.0,g,DES survey hex 60-288 tiling 9,0.895
267,691691,20171027,90.0,g,DES survey hex 354-359 tiling 8,0.895
268,689246,20171020,90.0,g,DES survey hex -331+6 tiling 8,0.896
269,692094,20171028,90.0,g,DES survey hex 435-34 tiling 8,0.897
270,681725,20170925,90.0,g,DES survey hex 187-278 tiling 8,0.897
271,692086,20171028,90.0,g,DES survey hex 451-4 tiling 8,0.897
272,690930,20171025,90.0,g,DES survey hex 598-562 tiling 7,0.897
273,690898,20171025,90.0,g,DES survey hex 294-532 tiling 8,0.899
274,681214,20170924,90.0,g,DES survey hex 133-369 tiling 7,0.899
275,682084,20170926,90.0,g,DES survey hex 52-34 tiling 8,0.9
276,670456,20170821,90.0,g,DES survey hex 260+16 tiling 8,0.9
277,688986,20171019,90.0,g,DES survey hex 62-247 tiling 9,0.901
278,670403,20170821,90.0,g,DES survey hex -15-653 tiling 7,0.901
