index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
397,675147,20170906,90.0,Y,DES survey hex -506-410 tiling 9,0.974
398,675173,20170906,90.0,Y,DES survey hex -243-572 tiling 9,0.974
399,675173,20170906,90.0,Y,DES survey hex -243-572 tiling 9,0.974
400,677145,20170912,90.0,Y,DES survey hex 100-65 tiling 9,0.976
401,675170,20170906,90.0,Y,DES survey hex -336-582 tiling 9,0.976
402,677146,20170912,90.0,Y,DES survey hex 116-55 tiling 9,0.985
403,675177,20170906,90.0,Y,DES survey hex -266-542 tiling 9,0.986
404,675164,20170906,90.0,Y,DES survey hex -338-511 tiling 9,0.986
405,668721,20170817,45.0,Y,DES survey hex 774-552 tiling 5,0.99
406,675560,20170907,90.0,Y,DES survey hex -355-410 tiling 9,0.991
407,675160,20170906,90.0,Y,DES survey hex -326-471 tiling 9,1.0
408,692707,20171030,90.0,Y,DES survey hex -66-572 tiling 9,1.0
409,675213,20170906,90.0,Y,DES survey hex -107-521 tiling 9,1.002
410,675199,20170906,90.0,Y,DES survey hex -184-572 tiling 9,1.007
411,675184,20170906,90.0,Y,DES survey hex -286-623 tiling 9,1.009
412,675660,20170907,90.0,Y,DES survey hex -33-552 tiling 9,1.01
413,693043,20171031,90.0,Y,DES survey hex 292-4 tiling 9,1.01
414,675200,20170906,90.0,Y,DES survey hex -154-582 tiling 9,1.012
415,675165,20170906,90.0,Y,DES survey hex -315-521 tiling 9,1.014
416,675651,20170907,90.0,Y,DES survey hex -235-14 tiling 9,1.015
417,675194,20170906,90.0,Y,DES survey hex -132-532 tiling 9,1.021
418,675624,20170907,90.0,Y,DES survey hex -186-430 tiling 9,1.024
419,675682,20170907,90.0,Y,DES survey hex 49-410 tiling 9,1.024
420,675621,20170907,90.0,Y,DES survey hex -294-420 tiling 9,1.027
421,675649,20170907,90.0,Y,DES survey hex -267-14 tiling 9,1.032
422,690818,20171025,90.0,Y,DES wide hex 4+37 tiling 7,1.038
423,675678,20170907,90.0,Y,DES survey hex 43-450 tiling 9,1.039
424,674297,20170901,90.0,Y,DES survey hex -454-511 tiling 9,1.04
425,675673,20170907,90.0,Y,DES survey hex 33-511 tiling 9,1.04
426,675659,20170907,90.0,Y,DES survey hex -48-542 tiling 9,1.041
427,675214,20170906,90.0,Y,DES survey hex -111-501 tiling 9,1.043
428,675176,20170906,90.0,Y,DES survey hex -296-552 tiling 9,1.045
429,675614,20170907,90.0,Y,DES survey hex -257-481 tiling 9,1.051
430,675202,20170906,90.0,Y,DES survey hex -93-582 tiling 9,1.055
431,675161,20170906,90.0,Y,DES survey hex -347-461 tiling 9,1.059
